variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,mean_expected_harm,mean_lambda_scale,boundary_veto_rate,mean_weight_smoothing_teacher,mean_weight_residual_distribution,mean_weight_retrieval_memory,family_rep,k_max,tau_leave,tau_family_gain,tau_family_harm,beta_harm,safe_floor,temperature,risk_gate,tau_expected_harm,dynamic_lambda,boundary_veto,boundary_veto_mult,boundary_gap_quantile,boundary_repair_quantile,calibration_feasible,calibration_score,target_variant
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.55,0.5,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.55,0.5,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.55,0.5,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.55,0.5,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.55,0.5,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.55,0.5,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.55,0.5,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.55,0.6,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.55,0.6,0.04,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.55,0.6,0.04,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.55,0.6,0.04,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.55,0.6,0.06,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.55,0.6,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.55,0.6,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.55,0.6,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.55,0.6,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.55,0.6,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.55,0.6,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.55,0.6,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.65,0.5,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.65,0.5,0.04,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.65,0.5,0.04,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.65,0.5,0.04,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.65,0.5,0.06,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.65,0.5,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.65,0.5,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.65,0.5,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.65,0.5,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.65,0.5,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.65,0.5,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.65,0.5,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.65,0.6,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.65,0.6,0.04,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.65,0.6,0.04,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.65,0.6,0.04,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.65,0.6,0.06,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.65,0.6,0.06,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.65,0.6,0.06,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.65,0.6,0.06,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987153876309023,2.3145403593508798,9.1261157455358,2.332075092367097,-0.13896186922677908,-1.5226836142472226,-0.7518940105496337,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07332532385177223,0.0014608203798083712,1.0,0.0,0.16716831579903155,0.17084918943853075,0.011982494762255845,median,2,0.65,0.6,0.1,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0855625998033,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042460439898004,2.3214845556260335,9.1261157455358,2.332075092367097,-0.08365530563779613,-0.9166583887241604,-0.45412502926317055,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04414198234337155,0.0014608203798083712,1.0,0.0,0.09552475188516085,0.097628108250589,0.006847139864146196,median,2,0.65,0.6,0.1,2.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47289550096741,Sparse-Family-CGA
Sparse-Family-CGA,232,8.987206942722402,2.314550760532303,9.1261157455358,2.332075092367097,-0.13890880281340062,-1.522102135611617,-0.7514480051267078,0.2543103448275862,0.7456896551724138,0.5862068965517241,0.75,6,8,False,1.0,232,0.2543103448275862,0.07329732255927178,0.0014585651367063622,1.0,0.0,0.16697281736147934,0.17110339891252313,0.011923783725815108,median,2,0.65,0.6,0.1,4.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.0868441107514,Sparse-Family-CGA
Sparse-Family-CGA,232,9.042497653947843,2.3214914035306005,9.1261157455358,2.332075092367097,-0.08361809158795906,-0.9162506133810132,-0.4538313892959155,0.25,0.75,0.5862068965517241,0.75,6,8,False,1.0,232,0.25,0.04412234578932026,0.0014585651367063622,1.0,0.0,0.09541303849227388,0.09777337080715606,0.006813590700465775,median,2,0.65,0.6,0.1,4.0,0.8,1.0,False,1.0,False,False,1.0,0.75,0.5,False,101.47379419016184,Sparse-Family-CGA
Sparse-Residual-Simplex-CGA,232,9.057424134798511,2.3246097893599402,9.1261157455358,2.332075092367097,-0.06869161073728944,-0.7526927400150704,-0.32011417640793655,0.39655172413793105,0.603448275862069,0.5172413793103449,1.0,8,8,False,1.0,232,0.39655172413793105,0.03624616329096546,0.0007167612519626387,1.0,0.0,0.03168103448272683,0.3183189655169224,0.0,residual_simplex,1,0.55,0.5,0.04,2.0,0.65,1.0,False,1.0,False,False,1.0,0.75,0.5,False,123.04115317771081,Sparse-Residual-Simplex-CGA
