variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,mean_safe_weight,mean_weight_smoothing_teacher,mean_weight_residual_distribution,mean_weight_retrieval_memory,boundary_veto_rate,family_rep,tau_leave,tau_family_gain,tau_family_harm,safe_floor,beta_harm,temperature,family_mass_cap,boundary_veto,boundary_veto_mult,boundary_gap_quantile,boundary_repair_quantile,calibration_feasible,calibration_score,target_variant
CGA-HM-safe,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.06,0.9,2.0,1.0,0.4,False,1.0,0.75,0.5,False,79.2326007658271,CGA-HM-safe
CGA-HM-safe,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.6,0.1,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5,False,79.04794386620648,CGA-HM-safe
CGA-HM-safe,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.6,0.1,0.8,2.0,1.0,0.4,False,1.0,0.75,0.5,False,79.04794386620648,CGA-HM-safe
CGA-HM-safe,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.1,0.9,2.0,1.0,0.25,False,1.0,0.75,0.5,False,79.2326007658271,CGA-HM-safe
CGA-HM-safe,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.1,0.9,2.0,1.0,0.4,False,1.0,0.75,0.5,False,79.2326007658271,CGA-HM-safe
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.5,0.06,0.8,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.5,0.06,0.9,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.5,0.06,0.9,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.5,0.1,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
